STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
 Odisha,2013,44.8,73.45%,155707,1044,1214,725,477,373,104,178,875,2961,5359,1076,4283,1408,254,937,337,4759,279,1669,2497,20602,47281,98692
 Punjab,2013,27.7,76.68%,50362,731,644,380,464,295,169,30,108,2094,3198,1375,1823,0,343,3123,71,4124,110,346,2226,9316,28756,59726
 Rajasthan,2013,68.5,67.06%,342239,1262,1977,1050,2238,1750,488,36,655,6072,16456,5491,10965,4052,902,7225,784,26173,389,2715,5074,62592,145579,303925
 Sikkim,2013,0.7,82.20%,7096,14,7,10,0,0,0,2,3,48,65,3,62,10,7,12,2,56,0,25,18,157,443,944
 Tamil Nadu,2013,72.1,80.33%,130058,1591,1843,557,879,632,247,95,514,4849,18213,4581,13632,3706,307,1904,791,30228,220,2022,9112,77784,157186,330893
 Tripura,2013,3.7,87.75%,10491,254,87,114,146,29,117,36,69,167,276,10,266,274,3,25,83,534,20,127,109,940,3514,7200
UTTAR PRADESH,2013,199.6,69.72%,240928,5284,3793,911,2208,1499,709,317,1988,4016,15751,5605,10146,2251,1746,2911,297,7760,1322,1098,4428,29449,95073,198562
 Uttarakhand,2013,10.1,79.63%,53483,268,236,107,171,134,37,26,160,557,1368,400,968,392,138,379,33,687,93,136,362,2353,7923,16928
 West Bengal,2013,91.3,77.08%,88752,1425,400,1002,902,801,101,217,598,342,12613,2581,10032,2596,378,1534,87,4172,329,1186,2300,24553,61174,129323
 Andaman and Nicobar Islands,2013,0.4,86.63%,8249,21,4,2,2,2,0,2,7,56,60,3,57,19,3,13,8,110,0,9,0,318,644,1340
 Chandigarh,2013,1.1,86.05%,114,21,15,18,32,28,4,3,12,204,1238,552,686,46,32,209,4,71,1,11,8,779,2806,6780
 Dadra and Nagar Haveli,2013,0.3,77.65%,603,11,5,1,7,4,3,4,6,41,61,15,46,17,8,13,4,22,0,4,1,129,338,740
 Daman and Diu,2013,0.2,87.07%,112,6,3,5,1,1,0,4,1,41,46,25,21,31,8,8,1,14,1,3,6,84,269,579
 Lakshadweep,2013,0.1,92.28%,32,0,0,2,0,0,0,0,0,6,8,1,7,4,0,0,2,1,0,1,0,6,31,69
 Puducherry,2013,1.2,86.55%,479,29,32,2,18,13,5,2,11,126,567,295,272,159,12,32,18,1053,1,56,182,2185,4517,9587
 Andhra Pradesh  ,2014,84,67.02%,162975,2579,1908,1016,1526,1030,496,199,596,8457,23578,5042,18536,2540,898,7928,915,43335,512,3817,11452,36460,158756,331576
 Arunachal Pradesh,2014,1.4,66.95%,83743,67,45,42,65,41,24,30,45,215,388,75,313,65,26,34,19,429,0,61,0,717,2256,4957
 Assam,2014,31,72.19%,78438,1214,410,1171,1906,1552,354,360,505,2544,5866,685,5181,3615,586,865,379,5911,74,883,2239,10040,40675,87015
 Bihar,2014,104,61.80%,94163,3948,2995,1390,3413,997,2416,1319,2986,3175,11113,2083,9030,9793,1701,2764,707,11231,1029,704,2405,44178,108060,227437
 Chhattisgarh,2014,25,71.04%,135192,927,619,969,214,174,40,106,363,3720,5014,1316,3698,790,101,424,242,3899,71,1661,1717,20143,41927,88135
 Goa,2014,1.5,88.70%,3702,40,6,37,13,10,3,5,18,261,503,120,383,33,49,61,7,170,2,23,216,646,2127,4733
 Gujarat,2014,60,79.31%,196024,1113,469,339,1133,905,228,360,1136,5828,18551,6931,11620,1599,1612,1726,388,12262,58,757,3958,49897,105469,226339
